store,labels,addr,lng,lat,lnum,label2,label3,area
远大购物中心(群力店),购物服务;商场;购物中心,群力大道1176号,126.556693,45.738066,1,商场,购物中心,师大
王府井购物中心,购物服务;商场;购物中心,景江东路899号,126.566138,45.732821,1,商场,购物中心,师大
卓展购物中心(安红街),购物服务;商场;购物中心,安隆街106号,126.605721,45.757428,1,商场,购物中心,中心
哈尔滨新一百,购物服务;商场;购物中心,石头道街118号,126.624709,45.770206,1,商场,购物中心,中心
麦凯乐(哈尔滨总店),购物服务;商场;普通商场,尚志大街73号麦凯乐B1F层,126.6241,45.771942,1,商场,普通商场,中心
金安国际购物广场,购物服务;商场;购物中心,中央大街69号,126.620139,45.77173,1,商场,购物中心,中心
凯德广场(埃德蒙顿路),购物服务;商场;购物中心,埃德蒙顿路38号,126.593793,45.734742,1,商场,购物中心,师大
万象城(西三道街店),购物服务;商场;购物中心,中央大街137-139号,126.618835,45.775446,1,商场,购物中心,中心
透笼国际商品城,购物服务;商场;购物中心,石头道街58号,126.629457,45.771508,1,商场,购物中心,中心
松雷商业大厦(道里店)(装修中),购物服务;商场;普通商场,中央大街66号,126.619221,45.770215,1,商场,普通商场,中心
贵夫人皮草广场(新阳路店),购物服务;商场;普通商场,新阳路338号,126.608279,45.750278,1,商场,普通商场,中心
百盛购物中心(中央大街店),购物服务;商场;购物中心,中央大街222号,126.616731,45.778833,1,商场,购物中心,中心
金太阳,购物服务;商场;普通商场,地段街128-8号,126.627423,45.771474,1,商场,普通商场,中心
秀龙商厦,购物服务;商场;普通商场,透笼街2号2楼,126.632387,45.770483,1,商场,普通商场,中心
中央商城,购物服务;商场;普通商场,中央大街100号,126.618857,45.771933,1,商场,普通商场,中心
凯旋城休闲购物广场,购物服务;商场;购物中心|购物服务;商场;普通商场,新阳路街道新阳路365号,126.606308,45.749172,1,商场,购物中心,中心
卓展B座,购物服务;商场;购物中心,上海街99号,126.604032,45.759507,1,商场,购物中心,师大
悦荟(道里区店),购物服务;商场;普通商场,友谊路187号万达广场C座,126.614676,45.778423,1,商场,普通商场,中心
金帝商城(中央大街),购物服务;商场;普通商场,尚志大街126号,126.62291100000002,45.770211,1,商场,普通商场,中心
金鼎购物广场,购物服务;商场;购物中心,群力第五大道518号,126.567777,45.735057,1,商场,购物中心,师大
和泰广场,购物服务;商场;购物中心,群力第四大道1579号,126.554642,45.737538,1,商场,购物中心,师大
联升韩国商品商场(新一百店),购物服务;商场;普通商场,兆麟街78号,126.625735,45.770076,1,商场,普通商场,中心
上海沙龙,购物服务;商场;普通商场,上海街、鸿润路、爱建路与工程小区围合区域,126.602181,45.766871,1,商场,普通商场,师大
比优特生活广场,购物服务;商场;购物中心,友谊路187号万达广场C座2-4层,126.615674,45.778354,1,商场,购物中心,中心
原宿春天购物广场,购物服务;商场;普通商场,中央大街209号,126.617164,45.779033,1,商场,普通商场,中心
哈尔滨悦荟C座,购物服务;商场;购物中心,友谊路187号附近,126.615277,45.778554,1,商场,购物中心,中心
新盛隆商厦,购物服务;商场;普通商场,透笼街22-17号,126.629229,45.769773,1,商场,普通商场,中心
银泰城购物中心,购物服务;商场;购物中心,丽江路与群力大道交汇处西北角,126.540067,45.73648,1,商场,购物中心,中心
金中环广场,购物服务;商场;购物中心,景江东路与群力第四大道交叉口东100米,126.56448600000002,45.738115,1,商场,购物中心,师大
万达广场C座,购物服务;商场;普通商场|购物服务;商场;购物中心,友谊路187号,126.615198,45.778516,1,商场,普通商场,中心
金帝商城,购物服务;商场;普通商场,中央大街与端街交叉口东50米,126.620318,45.769833,1,商场,普通商场,中心
原宿春天购物广场A座,购物服务;商场;购物中心,中央大街222号,126.618467,45.778418,1,商场,购物中心,中心
美乐商城(石头道街店),购物服务;商场;普通商场,石头道街57号(近金太阳),126.62809,45.771999,1,商场,普通商场,中心
松雷国际(装修中),购物服务;商场;普通商场,中央大街与霞曼街交叉口西50米,126.619548,45.77042,1,商场,普通商场,中心
金安国际购物广场(2号门),购物服务;商场;购物中心,中央大街73号金安国际购物广场,126.619599,45.771912,1,商场,购物中心,中心
Duty Jiee Shop免税商场,购物服务;商场;普通商场,中医街与中央大街交叉口东北50米,126.618624,45.775587,1,商场,普通商场,中心
人和索菲春天购物广场(华联商厦店),购物服务;商场;普通商场,地段街128-8号,126.627058,45.771382,1,商场,普通商场,中心
悦荟,购物服务;商场;普通商场,斯大林街与步行街交叉口西150米,126.615974,45.779793,1,商场,普通商场,中心
汇丽广场,购物服务;商场;购物中心,安隆街与上海街交汇处,126.606414,45.760629,1,商场,购物中心,中心
人和新春天(石头道街),购物服务;商场;普通商场,中央大街与霞曼街交叉口东150米,126.621402,45.770973,1,商场,普通商场,中心
凯德商用,购物服务;商场;普通商场,埃德蒙顿路46-3号附近,126.592823,45.734542,1,商场,普通商场,师大
哈尔滨悦荟A座,购物服务;商场;购物中心,中央大街240附近,126.616394,45.779638,1,商场,购物中心,中心
温馨四季名店广场,购物服务;商场;普通商场,经纬二道街6号附近,126.622255,45.766659,1,商场,普通商场,中心
王府井·泛乐城,购物服务;商场;购物中心,田地街67号,126.629744,45.768722,1,商场,购物中心,中心
CENTRAL DEPARTMENT STORE,购物服务;商场;普通商场,西十一道街40号附近,126.621437,45.771157,1,商场,普通商场,中心
振龙商厦,购物服务;商场;普通商场,买卖街99-1号,126.63126,45.771324,1,商场,普通商场,中心
人和春天购物广场(石头道街店),购物服务;商场;普通商场,地段街与石头道街交叉口东北50米,126.628207,45.771894,1,商场,普通商场,中心
巴拉斯商场,购物服务;商场;普通商场,西七道街55号,126.619417,45.773645,1,商场,普通商场,中心
卓展,购物服务;商场;普通商场,上海街99号附近,126.605126,45.759372,1,商场,普通商场,中心
远大购物中心B3栋,购物服务;商场;普通商场,群力第四大道1549附近,126.555345,45.737277,1,商场,普通商场,师大
银泰城·悦街,购物服务;商场;普通商场,丽江路附近,126.539796,45.740806,1,商场,普通商场,中心
曼哈顿,购物服务;商场;普通商场,尚志大街73号麦凯乐四楼,126.62705,45.769537,1,商场,普通商场,中心
CHAR TER SHOPPING CENTER,购物服务;商场;普通商场,安红街,126.605348,45.757039,1,商场,普通商场,中心
百盛,购物服务;商场;普通商场|购物服务;商场;购物中心,中央大街222号,126.617153,45.77896,1,商场,普通商场,中心
华燕奥特莱斯购物中心,购物服务;商场;普通商场,地段街95号华燕购物中心4楼,126.629105,45.770539,1,商场,普通商场,中心
人和春天2期,购物服务;商场;普通商场,地段街与透笼街交叉口西50米,126.628067,45.770024,1,商场,普通商场,中心
汇丽广场D座,购物服务;商场;购物中心,上实路与紫园路交叉口东南100米,126.605513,45.760161,1,商场,购物中心,中心
人和索菲春天(华联商厦店),购物服务;商场;普通商场,石头道街116号华联商厦1层,126.628177,45.770513,1,商场,普通商场,中心
金太阳新天地购物广场,购物服务;商场;普通商场,中央大街158号,126.618384,45.774931,1,商场,普通商场,中心
万达广场(哈尔滨哈西店),购物服务;商场;购物中心,中兴大道168号,126.587052,45.700371,1,商场,购物中心,师大
大世界商城(东大直街),购物服务;商场;普通商场,东大直街323号,126.644027,45.75968,1,商场,普通商场,中心
远大购物中心(果戈里大街店),购物服务;商场;购物中心,果戈里大街378号远大购物中心B1层,126.643703,45.760531,1,商场,购物中心,中心
秋林国际购物中心,购物服务;商场;购物中心,东大直街321号,126.64686100000002,45.760215,1,商场,购物中心,中心
松雷商业(南岗店),购物服务;商场;购物中心,东大直街329号,126.643314,45.758879,1,商场,购物中心,中心
红博广场,购物服务;商场;普通商场,红军街59号,126.642421,45.758839,1,商场,普通商场,中心
新世界百货(花园街),购物服务;商场;购物中心,花园街403号,126.64348,45.755597,1,商场,购物中心,中心
红博会展购物广场,购物服务;商场;购物中心|购物服务;商场;普通商场,红旗大街301号,126.70136200000002,45.755096,1,商场,购物中心,中心
国展正大购物广场,购物服务;商场;购物中心,西大直街40号(近博物馆),126.641134,45.754345,1,商场,购物中心,中心
秋林公司,购物服务;商场;普通商场,果戈里大街361,126.645839,45.760947,1,商场,普通商场,中心
哈西商厦,购物服务;商场;普通商场,中兴大道99号(学府四道街和学府路交口),126.61005,45.704858,1,商场,普通商场,中心
跨越新天地购物广场,购物服务;商场;购物中心,东大直街328号,126.645985,45.759266,1,商场,购物中心,中心
哈特购物广场,购物服务;商场;购物中心,西大直街118号(哈尔滨工大高新技术园区),126.625217,45.741774,1,商场,购物中心,中心
红博中央公园,购物服务;商场;普通商场,红旗大街339号,126.698498,45.757633,1,商场,普通商场,中心
金爵万象商业广场,购物服务;商场;购物中心,中兴左街2号,126.583009,45.698947,1,商场,购物中心,师大
新吉购物中心,购物服务;商场;购物中心,宣化街288号,126.667109,45.761521,1,商场,购物中心,中心
新纪元商城,购物服务;商场;普通商场,西大直街2号,126.641623,45.75677,1,商场,普通商场,中心
红塔时尚中心,购物服务;商场;购物中心,哈西大街299号西城红场B座,126.593495,45.703426,1,商场,购物中心,师大
西城红场生活港,购物服务;商场;购物中心,哈西大街299号,126.593317,45.703049,1,商场,购物中心,师大
大成地下商贸中心,购物服务;商场;普通商场,大成商业街6号口部,126.670929,45.760377000000005,1,商场,普通商场,中心
温馨百货,购物服务;商场;普通商场,文林街2号团购大厦,126.644927,45.738025,1,商场,普通商场,中心
人和新商城,购物服务;商场;普通商场,果戈里大街与花园街交叉口西北100米,126.648516,45.758452,1,商场,普通商场,中心
革新百货商场,购物服务;商场;普通商场,革新街256号,126.650512,45.746152,1,商场,普通商场,中心
学府体育休闲广场,购物服务;商场;普通商场,学府路副53-13号,126.612943,45.705256,1,商场,普通商场,中心
地一大道人和商城,购物服务;商场;普通商场,东大直街与阿什河街交叉口北50米,126.647031,45.761343,1,商场,普通商场,中心
西城汇,购物服务;商场;普通商场,中兴大道与学府路交叉口西北50米,126.613661,45.70463,1,商场,普通商场,中心
哈尔滨新世界百货商场,购物服务;商场;普通商场,交通街与花园街交叉口西北100米,126.643596,45.755501,1,商场,普通商场,中心
教化广场,购物服务;商场;普通商场,松花江街139号教化电子大世界5楼,126.630131,45.74761,1,商场,普通商场,中心
人和商城(龙江大厦东),购物服务;商场;普通商场,东大直街与龙江街交叉口东50米,126.646745,45.76109,1,商场,普通商场,中心
百汇商城外贸服饰店,购物服务;商场;普通商场,中兴大道百汇商城外贸服饰1-20,126.613438,45.704734,1,商场,普通商场,中心
香港城,购物服务;商场;普通商场,东大直街与燎原街交叉口东50米,126.657119,45.769653000000005,1,商场,普通商场,中心
瑞鹰潮品汇,购物服务;商场;普通商场,学府路74号,126.613335,45.709704,1,商场,普通商场,中心
尚都购物广场,购物服务;商场;购物中心,建设街142号,126.642177,45.760056,1,商场,购物中心,中心
国贸城,购物服务;商场;普通商场,红军街25附近,126.644801,45.757548,1,商场,普通商场,中心
祥泰综合商场,购物服务;商场;普通商场,建筑街54号龙运客运站,126.634079,45.759355,1,商场,普通商场,中心
松雷商业,购物服务;商场;普通商场,建民街2号附近,126.64326,45.759479,1,商场,普通商场,中心
艺汇家城市广场,购物服务;商场;普通商场,南岗开发区红旗大街240号,126.695481,45.752758,1,商场,普通商场,中心
大成商贸中心,购物服务;商场;普通商场,马端街147附近,126.67126299999998,45.763209,1,商场,普通商场,中心
国贸城(大世界写字楼东南),购物服务;商场;普通商场,大世界步行街购物广场附近地下,126.645455,45.760018,1,商场,普通商场,中心
大桥综合商场,购物服务;商场;普通商场,西大直街120-12号,126.624483,45.741318,1,商场,普通商场,中心
567漫天地,购物服务;商场;普通商场,红军街40号,126.642893,45.75651,1,商场,普通商场,中心
苏宁易购广场(哈尔滨哈西店),购物服务;商场;普通商场,哈西大街109号,126.586142,45.699962,1,商场,普通商场,师大
