store,labels,addr,lng,lat,lnum,label2,label3
远大购物中心(群力店),购物服务;商场;购物中心,群力大道1176号,126.556693,45.738065999999996,1,商场,购物中心
王府井购物中心,购物服务;商场;购物中心,景江东路899号,126.566138,45.732821,1,商场,购物中心
卓展购物中心(安红街),购物服务;商场;购物中心,安隆街106号,126.605721,45.757428000000004,1,商场,购物中心
哈尔滨新一百,购物服务;商场;购物中心,石头道街118号,126.62470900000001,45.770206,1,商场,购物中心
麦凯乐(哈尔滨总店),购物服务;商场;普通商场,尚志大街73号麦凯乐B1F层,126.6241,45.771941999999996,1,商场,普通商场
金安国际购物广场,购物服务;商场;购物中心,中央大街69号,126.620139,45.77173,1,商场,购物中心
凯德广场(埃德蒙顿路),购物服务;商场;购物中心,埃德蒙顿路38号,126.59379299999999,45.734742,1,商场,购物中心
大发生活广场,购物服务;商场;商场,康安路22号,126.60278500000001,45.736876,1,商场,商场
优衣库(中央大街店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街52-58号1-3层(道里松雷边),126.61963300000001,45.770245,1,服装鞋帽皮具店,品牌服装店
万象城(西三道街店),购物服务;商场;购物中心,中央大街137-139号,126.618835,45.775446,1,商场,购物中心
透笼国际商品城,购物服务;商场;购物中心,石头道街58号,126.629457,45.771508000000004,1,商场,购物中心
哈尔滨海宁皮革城,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,机场路198号,126.53938600000001,45.692753,1,服装鞋帽皮具店,服装鞋帽皮具店
松雷商业大厦(道里店)(装修中),购物服务;商场;普通商场,中央大街66号,126.619221,45.770215,1,商场,普通商场
迪卡侬(埃德蒙顿店),购物服务;体育用品店;户外用品,埃德蒙顿路136号,126.58463700000001,45.728571,1,体育用品店,户外用品
贵夫人皮草广场(新阳路店),购物服务;商场;普通商场,新阳路338号,126.60827900000001,45.750278,1,商场,普通商场
以纯(中央大街店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街129号,126.618821,45.774776,1,服装鞋帽皮具店,品牌服装店
H&M(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场F1层119、120,126.619827,45.771440999999996,1,服装鞋帽皮具店,品牌服装店
百盛购物中心(中央大街店),购物服务;商场;购物中心,中央大街222号,126.616731,45.778833,1,商场,购物中心
金太阳,购物服务;商场;普通商场,地段街128-8号,126.627423,45.771474,1,商场,普通商场
佐丹奴(西十二道街店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街51号佐丹奴专卖店,126.619946,45.770337,1,服装鞋帽皮具店,品牌服装店
秀龙商厦,购物服务;商场;普通商场,透笼街2号2楼,126.63238700000001,45.770483,1,商场,普通商场
达芙妮(中央七店),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街148号,126.61851599999999,45.774799,1,服装鞋帽皮具店,品牌鞋店
达芙妮(哈尔滨百盛店),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街169号百盛B1层达芙妮专柜,126.61987099999999,45.770814,1,服装鞋帽皮具店,品牌鞋店
稻草人(石头道街店),购物服务;服装鞋帽皮具店;品牌皮具店,地段街与石头道街交汇处东100米,126.62868799999998,45.771714,1,服装鞋帽皮具店,品牌皮具店
安利(哈尔滨体验馆店),购物服务;个人用品/化妆品店;其它个人用品店,尚志大街107号,126.62249299999999,45.774135,1,个人用品/化妆品店,其它个人用品店
卡玛(西十二道街),购物服务;服装鞋帽皮具店;品牌服装店,尚志大街西十二道街30号,126.62146399999999,45.770522,1,服装鞋帽皮具店,品牌服装店
