label2,label3,store,labels,addr,lng,lat,lnum
专卖店,专营店,2968,2968,2968,2968,2968,2968
专卖店,书店,291,291,291,291,291,291
专卖店,儿童用品店,857,857,857,857,857,857
专卖店,古玩字画店,108,108,108,108,108,108
专卖店,土特产专卖店,18,18,18,18,18,18
专卖店,宠物用品店,334,334,334,334,334,334
专卖店,摄影器材店,5,5,5,5,5,5
专卖店,烟酒专卖店,1793,1793,1793,1793,1793,1793
专卖店,珠宝首饰工艺品,632,632,632,632,632,632
专卖店,眼镜店,565,565,565,565,565,565
专卖店,礼品饰品店,348,348,348,348,348,348
专卖店,自行车专卖店,232,232,232,232,232,232
专卖店,钟表店,121,121,121,121,121,121
专卖店,音像店,15,15,15,15,15,15
个人用品/化妆品店,其它个人用品店,1145,1145,1145,1145,1145,1145
个人用品/化妆品店,莎莎,2,2,2,2,2,2
体育用品店,体育用品店,429,429,429,429,429,429
体育用品店,彪马专卖店,11,11,11,11,11,11
体育用品店,户外用品,360,360,360,360,360,360
体育用品店,李宁专卖店,28,28,28,28,28,28
体育用品店,耐克专卖店,27,27,27,27,27,27
体育用品店,阿迪达斯专卖店,47,47,47,47,47,47
便民商店/便利店,便民商店/便利店,5464,5464,5464,5464,5464,5464
商场,免税品店,2,2,2,2,2,2
商场,商场,82,82,82,82,82,82
商场,普通商场,165,165,165,165,165,165
商场,购物中心,89,89,89,89,89,89
家居建材市场,厨卫市场,755,755,755,755,755,755
家居建材市场,家具城,516,516,516,516,516,516
家居建材市场,家具建材综合市场,103,103,103,103,103,103
家居建材市场,家居建材市场,1206,1206,1206,1206,1206,1206
家居建材市场,布艺市场,295,295,295,295,295,295
家居建材市场,建材五金市场,5241,5241,5241,5241,5241,5241
家居建材市场,灯具瓷器市场,326,326,326,326,326,326
家电电子卖场,国美,2,2,2,2,2,2
家电电子卖场,家电电子卖场,1033,1033,1033,1033,1033,1033
家电电子卖场,手机销售,1465,1465,1465,1465,1465,1465
家电电子卖场,数码电子,811,811,811,811,811,811
家电电子卖场,综合家电商场,126,126,126,126,126,126
家电电子卖场,苏宁,11,11,11,11,11,11
文化用品店,文化用品店,710,710,710,710,710,710
服装鞋帽皮具店,品牌服装店,1680,1680,1680,1680,1680,1680
服装鞋帽皮具店,品牌皮具店,23,23,23,23,23,23
服装鞋帽皮具店,品牌箱包店,58,58,58,58,58,58
服装鞋帽皮具店,品牌鞋店,484,484,484,484,484,484
服装鞋帽皮具店,服装鞋帽皮具店,2733,2733,2733,2733,2733,2733
特殊买卖场所,典当行,62,62,62,62,62,62
特殊买卖场所,拍卖行,22,22,22,22,22,22
特殊买卖场所,特殊买卖场所,196,196,196,196,196,196
特色商业街,步行街,14,14,14,14,14,14
特色商业街,特色商业街,45,45,45,45,45,45
综合市场,农副产品市场,3325,3325,3325,3325,3325,3325
综合市场,小商品市场,12,12,12,12,12,12
综合市场,旧货市场,47,47,47,47,47,47
综合市场,果品市场,1083,1083,1083,1083,1083,1083
综合市场,水产海鲜市场,198,198,198,198,198,198
综合市场,综合市场,265,265,265,265,265,265
综合市场,蔬菜市场,480,480,480,480,480,480
花鸟鱼虫市场,宠物市场,193,193,193,193,193,193
花鸟鱼虫市场,花卉市场,818,818,818,818,818,818
花鸟鱼虫市场,花鸟鱼虫市场,39,39,39,39,39,39
购物相关场所,购物相关场所,1236,1236,1236,1236,1236,1236
超级市场,北京华联,6,6,6,6,6,6
超级市场,家乐福,7,7,7,7,7,7
超级市场,屈臣氏,31,31,31,31,31,31
超级市场,百佳超市,3,3,3,3,3,3
超级市场,超市,2622,2622,2622,2622,2622,2622
超级市场,麦德龙,1,1,1,1,1,1
